AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
57,220405,3,0.544378698224852,Goal,1,Lickrate,LowStim
61,220908,3,0.48,Goal,1,Lickrate,LowStim
63,221009,3,0.796296296296296,Goal,1,Lickrate,LowStim
62,221013,3,0.57,Goal,1,Lickrate,LowStim
65,221023,3,0.890625,Goal,1,Lickrate,LowStim
4,230430,3,0.609375,Goal,1,Lickrate,LowStim
57,220405,3,0.497041420118343,Goal,1,Lickrate,HighStim
61,220908,3,0.56,Goal,1,Lickrate,HighStim
63,221009,3,0.6875,Goal,1,Lickrate,HighStim
62,221013,3,0.5,Goal,1,Lickrate,HighStim
65,221023,3,0.5625,Goal,1,Lickrate,HighStim
4,230430,3,0.63265306122449,Goal,1,Lickrate,HighStim
57,220405,3,0.524038461538461,Goal,1,Lickrate,NoStim
61,220908,3,0.678518518518519,Goal,1,Lickrate,NoStim
63,221009,3,0.680691209616829,Goal,1,Lickrate,NoStim
62,221013,3,0.595997836668469,Goal,1,Lickrate,NoStim
65,221023,3,0.588926305897094,Goal,1,Lickrate,NoStim
4,230430,3,0.536271808999082,Goal,1,Lickrate,NoStim
57,220405,3,0.516272189349112,Goal,1,Lickrate,BothStim
61,220908,3,0.53,Goal,1,Lickrate,BothStim
63,221009,3,0.759515570934256,Goal,1,Lickrate,BothStim
62,221013,3,0.5225,Goal,1,Lickrate,BothStim
65,221023,3,0.6484375,Goal,1,Lickrate,BothStim
4,230430,3,0.493333333333333,Goal,1,Lickrate,BothStim
11,200130,1,0.700642791551882,None,1,Lickrate,AllTrials
11,200131,2,0.905964233326051,None,1,Lickrate,AllTrials
11,200201,3,0.773980459633717,None,1,Lickrate,AllTrials
11,200203,1,0.560420548309822,None,1,Lickrate,AllTrials
11,200204,2,0.777959183673469,None,1,Lickrate,AllTrials
11,200205,3,0.824689472383819,None,1,Lickrate,AllTrials
18,200814,1,0.626263832497413,None,1,Lickrate,AllTrials
18,200815,2,0.886630959882378,None,1,Lickrate,AllTrials
18,200816,3,0.856647049947186,None,1,Lickrate,AllTrials
18,200818,1,0.791464649155522,None,1,Lickrate,AllTrials
18,200819,2,0.791065088757396,None,1,Lickrate,AllTrials
18,200820,3,0.767086890157725,None,1,Lickrate,AllTrials
21,201010,1,0.953254132231405,None,1,Lickrate,AllTrials
21,201011,2,0.906760204081633,None,1,Lickrate,AllTrials
21,201012,3,0.995689655172414,None,1,Lickrate,AllTrials
