resFR,isCorrect,AnimalID,RecDate,NovelDay,CellID,CellType
0.674113196610869,1,46,211019,3,441,2
-0.040978225400839,1,46,211019,3,456,2
-0.232023998992072,1,46,211019,3,476,2
0.896739676419312,1,46,211019,3,503,2
0.726722622889098,1,46,211019,3,526,2
0.103885391787523,1,46,211019,3,528,2
-0.520945407507387,1,46,211019,3,554,2
-0.607433404517304,1,46,211020,1,0,2
0.620243702361071,1,46,211020,1,4,2
-0.197383032276359,1,46,211020,1,37,2
0.221337497609823,1,46,211020,1,51,2
0.184867779887709,1,46,211020,1,62,2
0.268661952713947,1,46,211020,1,83,2
-0.108937581365618,1,46,211020,1,104,2
-0.52555693880821,1,46,211020,1,108,2
0.323012934214981,1,46,211020,1,110,2
0.018340326775413,1,46,211020,1,112,2
-0.694793333858944,1,46,211020,1,114,2
0.417162731515253,1,46,211020,1,119,2
0.107604554969267,1,46,211020,1,125,2
0.0357846566309794,1,46,211020,1,135,2
0.378335333477507,1,46,211020,1,139,2
0.225099680033092,1,46,211020,1,141,2
-0.532837146076567,1,46,211020,1,153,2
-0.0966261980197937,1,46,211020,1,157,2
0.267656887606155,1,46,211020,1,158,2
-0.48504211773333,1,46,211020,1,159,2
0.901596932232816,1,46,211020,1,160,2
-0.383663786871582,1,46,211021,2,2,2
-0.306374624984612,1,46,211021,2,11,2
-0.325044818211618,1,46,211021,2,14,2
0.886878755707133,1,46,211021,2,20,2
0.210998817181527,1,46,211021,2,22,2
0.0767113181090988,1,46,211021,2,27,2
-0.00140018574337675,1,46,211021,2,29,2
0.573936157362953,1,46,211021,2,30,2
0.295429325908202,1,46,211021,2,32,2
0.146550598479474,1,46,211021,2,39,2
0.339591594182026,1,46,211021,2,64,2
-0.230516776945625,1,46,211021,2,68,2
-0.373663222070167,1,46,211021,2,71,2
-0.386814597003591,1,46,211021,2,73,2
0.291925504394261,1,46,211021,2,77,2
-0.300628676829786,1,46,211021,2,97,2
-0.0718799766385551,1,46,211021,2,99,2
0.0721888837561806,1,46,211021,2,109,2
0.142571084852685,1,46,211021,2,113,2
-0.0176587408561109,1,46,211021,2,133,2
-0.470529384415929,1,46,211021,2,142,2
-0.37468799045986,1,46,211021,2,149,2
-0.660721071139595,1,46,211021,2,151,2
0.853263751006897,1,46,211021,2,160,2
0.52038262986277,1,46,211021,2,166,2
0.2870618345879,1,46,211021,2,168,2
0.0411094374432727,1,46,211022,3,7,2
-0.353900691579384,1,46,211022,3,40,2
0.834924799706744,1,46,211022,3,54,2
0.169085121349163,1,46,211022,3,56,2
0.83200531595015,1,46,211022,3,63,2
0.484747628603255,1,46,211022,3,74,2
-0.212879268240132,1,46,211022,3,82,2
-0.585330261876036,1,46,211022,3,85,2
0.220866059805063,1,46,211022,3,97,2
0.158145801641231,1,46,211022,3,108,2
-0.136863017605915,1,46,211022,3,114,2
0.00259080128836209,1,46,211022,3,118,2
-0.60435744489144,1,46,211022,3,120,2
-0.230265790991414,1,46,211022,3,124,2
0.884463906353147,1,46,211022,3,149,2
0.650172196089878,1,46,211022,3,152,2
-0.149141473255481,1,46,211022,3,358,2
0.321712696752948,1,46,211022,3,382,2
0.148762647744568,1,46,211022,3,415,2
0.263250518774898,1,46,211022,3,459,2
0.152095576719663,1,46,211022,3,547,2
-0.279875047250036,1,46,211022,3,557,2
0.448402111320207,1,46,211022,3,579,2
0.936882446061153,1,46,211022,3,646,2
0.510240700568427,1,46,211022,3,675,2
0.25330286960143,1,46,211022,3,677,2
0.000794122525162366,1,46,211022,3,693,2
0.0331688292018873,1,46,211022,3,695,2
0.0263208602589223,1,46,211022,3,705,2
0.302471676399202,1,46,211022,3,708,2
-0.320825213384307,1,46,211022,3,724,2
0.104219931687563,1,46,211022,3,733,2
0.830507532111584,1,46,211022,3,735,2
-0.249981014806387,1,46,211022,3,749,2
0.154477958105007,1,46,211022,3,754,2
0.0228366516870114,1,46,211022,3,760,2
-0.184478119823682,1,46,211022,3,778,2
-0.0262865900214448,1,46,211022,3,786,2
-0.254571414181992,1,46,211022,3,883,2
0.0548128609191635,1,46,211022,3,891,2
-0.207466512799497,1,46,211022,3,902,2
0.055741051951069,1,46,211022,3,910,2
0.325255588512157,1,46,211022,3,953,2
-0.0679950868191109,1,46,211022,3,1003,2
-0.153063828691249,1,46,211022,3,1007,2
-0.0687936970016299,1,46,211022,3,1014,2
-0.108969031636424,1,46,211022,3,1018,2
-0.127169041512011,1,46,211022,3,1058,2
-0.103985716468506,1,46,211022,3,1087,2
-0.100897860334798,1,46,211022,3,1089,2
0.134200263610289,1,46,211022,3,1092,2
0.24337480217994,1,46,211022,3,1095,2
0.399674820178023,1,46,211022,3,1109,2
0.107346603447236,1,46,211022,3,1128,2
0.920573249526482,1,46,211022,3,1137,2
0.0364351668111357,1,46,211022,3,1150,2
-0.453487365698411,1,46,211022,3,1153,2
0.224037843222894,1,46,211022,3,1166,2
0.0606390572374969,1,46,211022,3,1176,2
0.205179955817973,1,46,211022,3,1177,2
0.32922100670233,1,46,211022,3,1179,2
0.531055097779899,1,46,211022,3,1182,2
0.630370547707374,1,46,211022,3,1183,2
-0.083149903036646,1,46,211022,3,1184,2
-0.0659114834197872,1,46,211022,3,1186,2
0.0333240195306298,1,46,211022,3,1187,2
0.142045735237919,1,46,211022,3,1188,2
-0.163160029487349,1,46,211022,3,1189,2
