AnimalID,RecDate,NovelDay,rawAUC,normAUC,StimCond,Environ,BehavT,TrialT
24,201119,3,0.997029198732458,4.80711299409329,None,1,Speed,AllTrials
45,211007,1,0.883492982846959,0,None,1,Speed,AllTrials
45,211008,2,0.88196322336398,-0.173149024687129,None,1,Speed,AllTrials
45,211010,3,0.8747,-0.995252143217341,None,1,Speed,AllTrials
45,211012,1,0.969972299168975,0,None,1,Speed,AllTrials
45,211013,2,0.948389273064598,-2.22511778149421,None,1,Speed,AllTrials
45,211014,3,0.892179930795848,-8.02006082439427,None,1,Speed,AllTrials
46,211017,1,0.948518518518518,0,None,1,Speed,AllTrials
46,211018,2,0.85082518827111,-10.2995701549395,None,1,Speed,AllTrials
46,211019,3,0.8507068304928,-10.3120483275846,None,1,Speed,AllTrials
46,211020,1,0.782222222222222,0,None,1,Speed,AllTrials
46,211021,2,0.936804733727811,19.7619688004303,None,1,Speed,AllTrials
46,211022,3,0.8674,10.8892045454545,None,1,Speed,AllTrials
47,211017,1,0.971876690102758,0,None,1,Speed,AllTrials
47,211018,2,0.965485756026297,-0.657586928624238,None,1,Speed,AllTrials
47,211019,3,0.91837107377648,-5.50539146284303,None,1,Speed,AllTrials
47,211020,1,0.957734573119189,0,None,1,Speed,AllTrials
47,211021,2,0.871244012193352,-9.03074435792278,None,1,Speed,AllTrials
47,211022,3,0.929387755102041,-2.9597780859917,None,1,Speed,AllTrials
11,200130,1,0.585026780088217,0,None,2,Speed,AllTrials
11,200131,2,0.782300066359669,33.7203856277666,None,2,Speed,AllTrials
11,200201,3,0.759391955312379,29.8046484637625,None,2,Speed,AllTrials
11,200203,1,0.556828223397949,0,None,2,Speed,AllTrials
11,200204,2,0.789808837668094,41.8406618918168,None,2,Speed,AllTrials
11,200205,3,0.82777408942103,48.6587882291024,None,2,Speed,AllTrials
18,200814,1,0.55417899408284,0,None,2,Speed,AllTrials
18,200815,2,0.659891427850019,19.0755035639941,None,2,Speed,AllTrials
18,200816,3,0.672607709750567,21.3701199309665,None,2,Speed,AllTrials
18,200818,1,0.532958579881657,0,None,2,Speed,AllTrials
18,200819,2,0.509510885391793,-4.39953410545914,None,2,Speed,AllTrials
18,200820,3,0.641545211183819,20.3743096370217,None,2,Speed,AllTrials
21,201010,1,0.569504268149424,0,None,2,Speed,AllTrials
21,201011,2,0.558567596896051,-1.92038442291434,None,2,Speed,AllTrials
